ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,Date,Genome_coverage,Assembly_method,Sequencing_technology,Assembly_type,Assembly_level,scaffold_N50,scaffold_count,total_length,gene_count,gene_length_mean,exon_count,exon_length_mean,CDS_count,CDS_length_mean,intron_count,intron_length_mean
GCA_001931875.2_ASM193187v2,2565360,Cladosporiaceae sp. IMV 00236,IMV 00236,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,,Cladosporiaceae sp. IMV 00236,2017-02-15,100.0x,MaSuRCA v. 3.1,Illumina HiSeq,haploid,Scaffold,186555,843,47573060,0,0,0,0,0,0,0,0
GCA_900000165.1_Ceraceosorus_bombacis,401625,Ceraceosorus bombacis,,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus bombacis,2015-10-18,210x,,,haploid,Scaffold,819827,485,26090089,8023,1936.7221737504674,8023,1936.7221737504674,32348,370.14507852108324,0,0
GCF_000585585.1_Capr_coro_CBS_617_96_V1,43229,Capronia coronata,CBS 617.96,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia coronata,2014-03-05,90.0x,allpaths v. R42667,Illumina,haploid,Scaffold,,,25807613,9231,1611.7636225761023,20473,683.3952522834953,20469,682.9189506082369,11242,78.90402063689734
GCA_019775475.1_ASM1977547v1,643907,Cladosporium colombiae,VS AB III KN 4,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium colombiae,2021-08-26,100x,CLC NGS Cell v. June-2020,Illumina,haploid,Scaffold,1207407,217,32718873,0,0,0,0,0,0,0,0
GCA_002901145.1_ASM290114v1,29917,Cladosporium cladosporioides,TYU,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium cladosporioides,2018-01-26,374.29x,SOAPdenovo v. 2.0,PacBio,haploid,Contig,,,33225733,0,0,0,0,0,0,0,0
GCA_003614995.1_ASM361499v1,1116209,Cladosporium phlei,ATCC 36193,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium phlei,2018-10-05,300.0x,CLC NGS Cell v. 4.2.0,Illumina NextSeq 500,haploid,Contig,,,32816021,0,0,0,0,0,0,0,0
GCA_019650295.1_Ck_assembly01,84275,Cercospora kikuchii,MAFF 305040,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora kikuchii,2021-07-08,100x,canu v. 1.9,PacBio RSII,haploid,Contig,,,34440063,13005,1551.0752787389465,0,0,31116,632.4344388738913,0,0
GCA_002921095.1_ASM292109v1,2048672,Cladosporium sp. SL-16,SL-16,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp. SL-16,2018-02-07,68.0x,Celera Assembler v. 8.1,PacBio,haploid,Contig,,,35856902,0,0,0,0,0,0,0,0
GCA_018703675.1_ASM1870367v1,2259629,Cladosporium sp. SW67,SW67,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp. SW67,2021-06-03,135.0x,SPAdes v. 3.10.1,Illumina MiSeq,haploid,Scaffold,1090455,108,26364472,0,0,0,0,0,0,0,0
GCA_011745625.1_ASM1174562v1,2716165,Cladosporium sp. TM138-S3,TM138-S3,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sp. TM138-S3,2020-03-23,46.0x,SPAdes v. 3.13,Illumina NovaSeq,haploid,Scaffold,588500,732,28010873,0,0,0,0,0,0,0,0
GCA_019191205.1_ASM1919120v1,92950,Cladosporium sphaerospermum,F4_7S_F1_F,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium sphaerospermum,2021-07-09,68.7x,SPAdes v. 3.11.1,Illumina NovaSeq,haploid,Scaffold,873859,573,30616838,0,0,0,0,0,0,0,0
GCA_001465935.1_ASM146593v1,1436886,Clarireedia homoeocarpa,HRI11,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Rutstroemiaceae,Clarireedia,Clarireedia homoeocarpa,2015-12-14,50.0x,SPAdes v. 3.6.1; SSPACE-LongRead v. 2015-10,Illumina HiSeq; PacBio,haploid,Scaffold,709078,257,43359131,0,0,0,0,0,0,0,0
GCA_002242905.1_ASM224290v1,2036908,Clarireedia jacksonii,MB01,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Rutstroemiaceae,Clarireedia,Clarireedia jacksonii,2017-08-07,70.0x,CLC Genomics Workbench v. 7.6,Illumina MiSeq,haploid,Scaffold,168655,1637,39468807,0,0,0,0,0,0,0,0
GCA_002242955.1_ASM224295v1,2211668,Clarireedia monteithiana,RB19,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Rutstroemiaceae,Clarireedia,Clarireedia monteithiana,2017-08-07,33.0x,CLC Genomics Workbench v. 7.6,Illumina MiSeq,haploid,Scaffold,20763,3610,36184363,0,0,0,0,0,0,0,0
GCA_002242985.1_ASM224298v1,2730677,Clarireedia sp. SE16F4,SE16F4,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Rutstroemiaceae,Clarireedia,Clarireedia sp. SE16F4,2017-08-07,38.0x,CLC Genomics Workbench v. 7.6,Illumina MiSeq,haploid,Scaffold,15633,4789,36003868,0,0,0,0,0,0,0,0
GCA_002242865.1_ASM224286v1,2730676,Clarireedia sp. CPB17,CPB17,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Rutstroemiaceae,Clarireedia,Clarireedia sp. CPB17,2017-08-07,41.0x,CLC Genomics Workbench v. 7.6,Illumina MiSeq,haploid,Scaffold,20651,3875,36396316,0,0,0,0,0,0,0,0
GCF_014898295.1_ASM1489829v1,139641,Botrytis byssoidea,MUCL 94,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis byssoidea,2020-10-20,97x,HGAP v. 4,PacBio Sequel,haploid,Contig,,,42981876,12204,1720.3000655522778,36382,522.1685723709527,35940,485.59791318864774,24172,82.9028214463015
GCA_001179745.1_Cla_fum_l100.fa,264083,Clavaria fumosa,,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Clavariaceae,Clavaria,Clavaria fumosa,2015-07-08,50x,,,haploid,Scaffold,3145,111201,70469476,0,0,0,0,0,0,0,0
GCA_004786145.1_ASM478614v1,278948,Botrytis paeoniae,Bp0003,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis paeoniae,2019-04-12,60x,A5 pipeline v. 20160825,Illumina HiSeq,haploid,Scaffold,125168,1830,46245472,12045,1593.9673723536737,35742,481.906216775782,35585,480.68759308697486,23557,85.9327588402598
GCA_004916875.1_ASM491687v1,278940,Botrytis galanthina,MUCL435,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis galanthina,2019-04-25,35x,A5 pipeline v. 20160825,Illumina HiSeq,haploid,Scaffold,65161,3417,43865366,12388,1621.644171779141,36916,490.612254848846,36795,489.8470444353852,24184,85.84220972543831
GCA_013620735.1_ASM1362073v1,253306,Clavariopsis aquatica,WD(A)-00-1,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,,Clavariopsis,Clavariopsis aquatica,2020-07-24,128.0x,Velvet v. 1.2.10,Illumina MiSeq,haploid,Scaffold,30079,2649,34180246,0,0,0,0,0,0,0,0
GCA_900157425.1_version_2,47428,Armillaria ostoyae,C18/9,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Armillaria,Armillaria ostoyae,2017-09-28,60x,,,haploid,Contig,,,60106801,22581,1516.4329746246844,120449,205.3183671097311,122190,223.43930763564939,217,20.013824884792626
GCA_002006685.1_Batr_sala_BS_V1,1357716,Batrachochytrium salamandrivorans,BS,Chytridiomycota,,Chytridiomycetes,,Rhizophydiales,,Batrachochytrium,Batrachochytrium salamandrivorans,2017-02-24,174.0x,allpaths v. R48559,Illumina,haploid,Scaffold,10956,5358,32636440,10184,2204.328652788688,58296,388.31226842321945,56290,311.19806359921836,45774,168.5536112203434
GCF_000585565.1_Capr_epim_CBS_606_96_V1,43228,Capronia epimyces,CBS 606.96,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia epimyces,2014-03-05,83.0x,allpaths v. R42667,Illumina,haploid,Scaffold,,,28889638,10469,1592.3411978221416,24167,641.1919973517606,24161,640.8021191175862,13698,85.7448532632501
GCA_004786245.1_ASM478624v1,278943,Botrytis hyacinthi,Bh0001,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis hyacinthi,2019-04-12,52x,A5 pipeline v. 20160825,Illumina HiSeq,haploid,Scaffold,115535,2498,43819774,12130,1600.2765869744435,35896,485.2618397593047,35769,484.850037742179,23666,86.00266204681822
GCA_000223055.1_ClFusi_1.0,40602,Claviceps fusiformis,PRL 1980,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps fusiformis,2011-08-08,34.9x,Newbler v. 2.5.3,454 GS FLX Titanium,haploid,Contig,,,52585647,0,0,0,0,0,0,0,0
GCA_019669825.1_Calmar1,1763456,Calycina marina,TRa3180A,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Pezizellaceae,Calycina,Calycina marina,2021-08-18,185.3x,SPAdes v. 3.12.0,Illumina,haploid,Scaffold,54098,1318,34209217,9641,1743.799087231615,30042,505.2627321749551,29206,435.86930767650483,20397,80.07148110016179
GCA_011503125.2_ASM1150312v2,55169,Botryosphaeria dothidea,sdau11-99,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria dothidea,2020-04-23,153.0x,FALCON v. 1.2.6; Canu v. 1.8; quickmerge v. 0.3,PacBio; Illumina,haploid,Contig,,,51758482,14017,1736.5417707069987,44393,473.8284188948708,44393,473.8284188948708,30376,108.85044113774032
GCA_003709865.1_ASM370986v1,2249419,Chaetothyriales sp. CBS 132003,CBS 132003,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,Chaetothyriales sp. CBS 132003,2018-11-02,54.0x,SPAdes v. 3.10.0,Illumina HiSeq,haploid,Scaffold,312613,118,22913932,5727,2384.322158198009,18397,564.5463934337121,18397,564.5463934337121,12670,255.42446724546173
GCA_004016105.1_ASM401610v1,2778778,Claviceps occidentalis,PRL1580,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps occidentalis,2019-01-14,52.0x,SPAdes v. 3.10.1,Illumina NextSeq,haploid,Contig,,,28571566,0,0,0,0,0,0,0,0
GCA_004786125.1_ASM478612v1,87230,Botrytis tulipae,Bt9001,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis tulipae,2019-04-12,92x,SPAdes v. 3.10.1,Illumina HiSeq,haploid,Scaffold,172411,634,45321145,12565,1589.0470354158376,37049,484.12078598612646,36931,483.1382578321735,24369,85.5544339119373
GCA_013435705.1_ASM1343570v1,40601,Claviceps paspali,ILB388,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps paspali,2020-07-21,720x,SOAPdenovo v. 3.13.1,Illumina HiSeq,haploid,Scaffold,196155,586,29206133,0,0,0,0,0,0,0,0
GCA_004016475.1_ASM401647v1,2670775,Claviceps perihumidiphila,PRL 1566,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps perihumidiphila,2019-01-14,305.0x,SPAdes v. 3.10.1,Illumina NextSeq,haploid,Contig,,,30691559,0,0,0,0,0,0,0,0
GCA_018856295.1_ASM1885629v1,530045,Blastosporella zonata,Bzo6,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Blastosporella,Blastosporella zonata,2021-06-11,20x,SPAdes v. 3.5.0,Illumina HiSeq,haploid,Scaffold,7589,26629,48807216,12607,1266.9707305465217,51041,257.58065084931724,50560,259.2209454113924,38434,73.5163136805953
GCF_014898535.1_ASM1489853v1,2478750,Botrytis deweyae,B1,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis deweyae,2020-10-20,96x,HGAP v. 4,PacBio Sequel,haploid,Contig,,,44366920,12465,1721.2365824308063,36842,527.6807990879973,36522,492.43858496248833,24366,83.26889928589017
GCA_004016085.1_ASM401608v1,2778779,Claviceps quebecensis,136,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps quebecensis,2019-01-14,66.0x,SPAdes v. 3.10.1,Illumina NextSeq,haploid,Contig,,,35875594,0,0,0,0,0,0,0,0
GCA_004016175.1_ASM401617v1,2670776,Claviceps ripicola,JM_7.2,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps ripicola,2019-01-14,214.0x,SPAdes v. 3.10.1,Illumina NextSeq,haploid,Contig,,,30598250,0,0,0,0,0,0,0,0
GCA_003709825.1_ASM370982v1,2249420,Chaetothyriales sp. CBS 135597,CBS 135597,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,Chaetothyriales sp. CBS 135597,2018-11-02,54.0x,SPAdes v. 3.10.0,Illumina HiSeq,haploid,Scaffold,570188,134,20738693,5622,2360.5640341515473,18284,583.7684314154452,18284,583.7684314154452,12662,203.16679829410836
GCF_000143535.2_ASM14353v4,40559,Botrytis cinerea,B05.10,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,2015-02-05,35.0x,HGAP v. JAN-2015,PacBio,haploid,Complete Genome,,,42630066,11698,2263.850914686271,43775,670.7503369503141,40830,498.07986774430566,30072,85.94004389465283
GCA_003693665.1_ASM369366v1,2249417,Chaetothyriales sp. CBS 134920,CBS 134920,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,Chaetothyriales sp. CBS 134920,2018-10-29,54.0x,SPAdes v. 3.10.0,Illumina HiSeq,haploid,Scaffold,168741,408,20748077,5984,2234.9488636363635,18413,591.0576766415032,18413,591.0576766415032,12429,196.89749778743263
GCF_013461495.1_Bfra_R1V1,1964551,Botrytis fragariae,BVB16,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis fragariae,2020-07-22,90.0x,MECAT v. 2017,PacBio,haploid,Contig,,,41923773,12345,1640.8068043742405,38180,466.16977475117864,38140,463.8443628736235,25835,95.11894716469905
GCA_003709845.1_ASM370984v1,2249418,Chaetothyriales sp. CBS 134916,CBS 134916,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,,,Chaetothyriales sp. CBS 134916,2018-11-02,54.0x,SPAdes v. 3.10.0,Illumina HiSeq,haploid,Scaffold,61092,1226,26420947,6703,2061.9970162613754,18353,625.4857516482319,18353,625.4857516482319,11650,193.06248927038627
GCA_002104905.1_Basme2finSC,423460,Basidiobolus meristosporus,CBS 931.73,Zoopagomycota,Entomophthoromycotina,Basidiobolomycetes,,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus meristosporus,2017-04-20,20x,Falcon v. 20140820; FinisherSC,PacBio,haploid,Contig,,,89489060,16776,1391.9474845016691,62332,319.7094590258615,60835,298.93280184104543,45551,75.15854756207328
GCF_014898465.1_ASM1489846v1,87229,Botrytis porri,MUCL 3234,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis porri,2020-10-20,42x,HGAP v. 4,PacBio Sequel,haploid,Contig,,,46789968,12076,1681.3609638953296,35572,515.0625210839986,35132,480.19867926676534,23486,85.24836072553862
GCF_000221225.1_CTHT_3.0,285224,Chaetomium thermophilum var. thermophilum,DSM 1495,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium thermophilum,2011-07-22,24x,Celera v. 5.3,454 GS FLX Titanium,haploid,Scaffold,2849635,21,28322806,7406,1807.598028625439,21502,549.0226490559018,21377,556.7994573607148,14086,112.34317762317194
GCA_002844615.1_ASM284461v1,348901,Cercospora zeina,CMW25467,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora zeina,2017-12-19,386.0x,Velvet v. MAY-2013,Illumina HiSeq,haploid,Scaffold,160632,10027,40755333,10193,1952.9124889630139,25560,716.5188575899843,25232,618.3228043753963,15367,102.57057330643588
GCF_014898435.1_ASM1489843v1,1463999,Botrytis sinoallii,Bc 23,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Sclerotiniaceae,Botrytis,Botrytis sinoallii,2020-10-20,94x,HGAP v. 4,PacBio Sequel,haploid,Contig,,,61289320,12200,1711.8425409836066,37148,505.95512544416925,36732,470.59762604813244,24946,83.78012507015153
GCF_003144195.1_Cersp1,1522189,Ceraceosorus guamensis,MCA 4658,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,,Ceraceosorales,Ceraceosoraceae,Ceraceosorus,Ceraceosorus guamensis,2018-05-21,145x,Allpaths-LG v. R49403,Illumina,haploid,Scaffold,295512,251,24148100,7860,2137.3454198473282,30353,479.52538464072745,29843,410.65975270582715,22492,99.79423795127157
GCA_010015675.1_Bysci1,147558,Byssothecium circinans,CBS 675.92,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Massarinaceae,Byssothecium,Byssothecium circinans,2020-01-29,96.3x,AllPathsLG v. R47710,Illumina,haploid,Scaffold,869913,160,49288729,15848,1639.104114083796,42259,557.0424288317281,41292,488.7192434369854,26404,92.30347674594758
GCA_002102555.1_Catan2,109876,Catenaria anguillulae,PL171,Blastocladiomycota,,Blastocladiomycetes,,Blastocladiales,Catenariaceae,Catenaria,Catenaria anguillulae,2017-04-20,47.22x,Falcon v. 0.2.2,PacBio,haploid,Contig,,,41337528,13135,1477.9759421393223,36151,480.80932754280656,34342,434.09947003668975,22876,89.71008917642945
GCA_003707795.1_ASM370779v1,46582,Clavispora fructus,NRRL Y-17072,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora fructus,2018-10-31,33x,DISCOVAR v. r51885,Illumina HiSeq 2500,haploid,Scaffold,195674,190,11442610,0,0,0,0,0,0,0,0
GCA_002933655.1_Cbert_1,357750,Cercospora berteroae,CBS538.71,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora berteroae,2018-02-20,83.0x,SOAPdenovo v. 2.04,Illumina HiSeq,haploid,Scaffold,104723,1801,33892839,11903,1580.0271360161305,27723,631.4588248025105,27723,631.4588248025105,15820,82.24589127686473
GCA_900068955.1_Clitocybe_nebularis-8,117024,Clitocybe nebularis,,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Tricholomataceae,Clitocybe,Clitocybe nebularis,2020-07-09,50x,,,haploid,Scaffold,,,59334347,0,0,0,0,0,0,0,0
GCA_015708445.2_ASM1570844v2,648681,Clitopilus hobsonii,QYL-10,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Entolomataceae,Clitopilus,Clitopilus hobsonii,2021-01-25,215.47x,smartdenove v1.0 v. 2.0,Illumina HiSeq; PacBio Sequel,haploid,Complete Genome,,,36926258,0,0,0,0,0,0,0,0
GCF_002742065.1_CB0940_V2,122368,Cercospora beticola,09-40,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora beticola,2017-11-03,70.0x,SOAPdenovo v. 2.04,Illumina,haploid,Chromosome,,,37057033,12271,1879.5542335587973,28718,777.3619681036284,28029,649.5262050019622,16255,73.56068901876345
GCA_010093985.1_Cerzm1,135779,Cercospora zeae-maydis,SCOH1-5,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora zeae-maydis,2020-01-31,39.29x,Velvet v. unknown,Roche (454); Fosmid (Sanger); Illumina,haploid,Scaffold,720376,917,46606234,12090,1469.1154673283706,27925,569.0763115487914,27665,547.099981926622,15818,118.3282968769756
GCA_019364595.1_ASM1936459v1,1325616,Butyriboletus roseoflavus,LA02,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Boletales,Boletaceae,Butyriboletus,Butyriboletus roseoflavus,2021-07-27,165.0x,FALCON v. 1.8.7,PacBio Sequel,haploid,Contig,,,33976981,9264,1544.9530440414508,47794,244.823743566138,47686,245.18550517971732,38672,64.428397807199
GCA_015832225.1_ASM1583222v1,29856,Clonostachys rosea,CanS41,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys rosea,2020-12-08,230.0x,Canu v. 1.7,Oxford Nanopore,haploid,Contig,,,60683581,0,0,0,0,0,0,0,0
GCF_000003835.1_ASM383v1,36911,Clavispora lusitaniae,ATCC 42720,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora lusitaniae,2009-06-02,,,,haploid,Scaffold,1874050,9,12114892,6148,1344.3983409238776,6168,1339.6832036316473,5951,1385.7045874642918,15,171.26666666666668
GCF_000143365.1_ASM14336v1,38033,Chaetomium globosum,CBS 148.51,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium globosum,2006-02-17,,,,haploid,Scaffold,4721439,37,34886939,11230,1764.0575244879785,34653,475.6725247453323,34469,477.74153587281324,23421,142.05456641475598
GCA_018360045.1_CSU_CCC1504_v1,1649128,Claviceps capensis,CCC 1504,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps capensis,2021-05-14,66x,SPAdes v. 3.11.1,Illumina HiSeq,haploid,Contig,,,27728898,8037,1627.241632449919,20880,554.7248084291188,20760,557.4437379576108,12843,116.44374367359652
GCF_000585515.1_Clad_yegr_CBS_114405_V1,470704,Cladophialophora yegresii,CBS 114405,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora yegresii,2014-03-05,132.0x,allpaths v. R42682,Illumina,haploid,Scaffold,,,27898422,10118,1544.0854912037953,22092,668.5345373891001,22079,668.0491870102812,11974,71.30382495406714
GCA_018360365.1_CSU_CCC265_v1,62069,Claviceps citrina,CCC 265,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps citrina,2021-05-14,64x,SPAdes v. 3.11.1,Illumina HiSeq,haploid,Contig,,,43472126,7821,1569.1086817542514,19685,553.9272542545085,19563,556.8543679394776,11864,115.30183749157113
GCF_000365165.1_Clad_carr_CBS_160_54_V1,86049,Cladophialophora carrionii,CBS 160.54,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora carrionii,2013-12-11,80.0x,allpaths v. R43485,Illumina,haploid,Scaffold,3197266,19,28991111,10420,1556.3238003838771,23158,659.6127040331635,23103,660.9286672726486,12730,74.03660644147682
GCA_018360325.1_CSU_LM81_v1,2559226,Claviceps aff. humidiphila group G2b,LM81,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps aff. humidiphila group G2b,2021-05-14,140x,SPAdes v. 3.11.1,Illumina NextSeq,haploid,Contig,,,31203652,8291,1614.3725726691594,21556,550.557570977918,21438,553.121606493143,13265,114.35687900490011
GCA_003693555.1_ASM369355v1,1634537,Coccinonectria pachysandricola,JAC16-16,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Coccinonectria,Coccinonectria pachysandricola,2018-10-29,52x,CLC NGS Cell v. 7,Illumina MiSeq,haploid,Scaffold,390316,359,25704665,0,0,0,0,0,0,0,0
GCA_018360075.1_CSU_CCC1219_v1,247652,Claviceps cyperi,CCC 1219,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps cyperi,2021-05-14,56x,SPAdes v. 3.11.1,Illumina HiSeq,haploid,Contig,,,26646729,7673,1620.0258047699726,19932,554.2414208308248,19817,556.969016500984,12259,112.8410147646627
GCA_000697235.1_CokRecB5483-1.0,90255,Cokeromyces recurvatus,B5483,Mucoromycota,Mucoromycotina,Mucoromycetes,,Mucorales,Mucoraceae,Cokeromyces,Cokeromyces recurvatus,2014-06-02,63.16x,MaSuRCA v. 1.9.2,Illumina HiSeq,haploid,Contig,,,29343587,0,0,0,0,0,0,0,0
GCA_001593745.1_ASM159374v1,27357,Colletotrichum acutatum,1,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum acutatum,2016-03-18,20.0x,smrtanalysis v. 2.3.0.140936.p5.167094,PacBio,haploid,Contig,,,52129059,0,0,0,0,0,0,0,0
GCA_018361025.1_CSU_Clav52_v1,1967640,Claviceps aff. purpurea,Clav52,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps aff. purpurea,2021-05-14,60x,SPAdes v. 3.11.1,Illumina HiSeq,haploid,Contig,,,29595454,8316,1607.9197931697931,21601,547.8043609092172,21482,550.3717996462154,13285,115.79518253669552
GCA_014706365.1_ASM1470636v1,2231729,Colletotrichum australisinense (nom. inval.),GX1655,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum australisinense (nom. inval.),2020-09-23,100.0x,Canu v. 1.3,Oxford Nanopore GridION,haploid,Contig,,,55304262,0,0,0,0,0,0,0,0
GCA_018360145.1_CSU_CCC489_v1,83212,Claviceps africana,CCC 489,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Claviceps,Claviceps africana,2021-05-14,56x,SPAdes v. 3.11.1,Illumina HiSeq,haploid,Contig,,,37712632,8119,1595.3658085971178,20783,545.2056969638647,20658,547.9980152967373,12664,128.06103916614023
